"2023-11-01","Tutti i Santi","IT"
"2023-12-08","Immacolata Concezione","IT"
"2023-12-25","Natale","IT"
"2023-12-26","Santo Stefano","IT"
"2024-01-01","Capodanno","IT"
"2024-01-06","Epifania del Signore","IT"
"2024-03-31","Pasqua di Resurrezione","IT"
"2024-04-01","Lunedì dell'Angelo","IT"
"2024-04-25","Festa della Liberazione","IT"
"2024-05-01","Festa dei Lavoratori","IT"
"2024-06-02","Festa della Repubblica","IT"
"2024-08-15","Assunzione della Vergine","IT"
"2024-11-01","Tutti i Santi","IT"
"2024-12-08","Immacolata Concezione","IT"
"2024-12-25","Natale","IT"
"2024-12-26","Santo Stefano","IT"
"2025-01-01","Capodanno","IT"
"2025-01-06","Epifania del Signore","IT"
"2025-04-20","Pasqua di Resurrezione","IT"
"2025-04-21","Lunedì dell'Angelo","IT"
"2025-04-25","Festa della Liberazione","IT"
"2025-05-01","Festa dei Lavoratori","IT"
"2025-06-02","Festa della Repubblica","IT"
"2025-08-15","Assunzione della Vergine","IT"
"2025-11-01","Tutti i Santi","IT"
"2025-12-08","Immacolata Concezione","IT"
"2025-12-25","Natale","IT"
"2025-12-26","Santo Stefano","IT"
"2026-01-01","Capodanno","IT"
"2026-01-06","Epifania del Signore","IT"
"2026-04-05","Pasqua di Resurrezione","IT"
"2026-04-06","Lunedì dell'Angelo","IT"
"2026-04-25","Festa della Liberazione","IT"
"2026-05-01","Festa dei Lavoratori","IT"
"2026-06-02","Festa della Repubblica","IT"
"2026-08-15","Assunzione della Vergine","IT"
"2026-11-01","Tutti i Santi","IT"
"2026-12-08","Immacolata Concezione","IT"
"2026-12-25","Natale","IT"
"2026-12-26","Santo Stefano","IT"
"2019-01-01","Jour de l'an","FR"
"2019-04-22","Lundi de Pâques","FR"
"2019-05-01","Fête du Travail","FR"
"2019-05-08","Armistice 1945","FR"
"2019-05-30","Ascension","FR"
"2019-06-10","Lundi de Pentecôte","FR"
"2019-07-14","Fête nationale","FR"
"2019-08-15","Assomption","FR"
"2019-11-01","Toussaint","FR"
"2019-11-11","Armistice 1918","FR"
"2019-12-25","Noël","FR"
"2020-01-01","Jour de l'an","FR"
"2020-04-13","Lundi de Pâques","FR"
"2020-05-01","Fête du Travail","FR"
"2020-05-08","Armistice 1945","FR"
"2020-05-21","Ascension","FR"
"2020-06-01","Lundi de Pentecôte","FR"
"2020-07-14","Fête nationale","FR"
"2020-08-15","Assomption","FR"
"2020-11-01","Toussaint","FR"
"2020-11-11","Armistice 1918","FR"
"2020-12-25","Noël","FR"
"2021-01-01","Jour de l'an","FR"
"2021-04-05","Lundi de Pâques","FR"
"2021-05-01","Fête du Travail","FR"
"2021-05-08","Armistice 1945","FR"
"2021-05-13","Ascension","FR"
"2021-05-24","Lundi de Pentecôte","FR"
"2021-07-14","Fête nationale","FR"
"2021-08-15","Assomption","FR"
"2021-11-01","Toussaint","FR"
"2021-11-11","Armistice 1918","FR"
"2021-12-25","Noël","FR"
"2022-01-01","Jour de l'an","FR"
"2022-04-18","Lundi de Pâques","FR"
"2022-05-01","Fête du Travail","FR"
"2022-05-08","Armistice 1945","FR"
"2022-05-26","Ascension","FR"
"2022-06-06","Lundi de Pentecôte","FR"
"2022-07-14","Fête nationale","FR"
"2022-08-15","Assomption","FR"
"2022-11-01","Toussaint","FR"
"2022-11-11","Armistice 1918","FR"
"2022-12-25","Noël","FR"
"2023-01-01","Jour de l'an","FR"
"2023-04-10","Lundi de Pâques","FR"
"2023-05-01","Fête du Travail","FR"
"2023-05-08","Armistice 1945","FR"
"2023-05-18","Ascension","FR"
"2023-05-29","Lundi de Pentecôte","FR"
"2023-07-14","Fête nationale","FR"
"2023-08-15","Assomption","FR"
"2023-11-01","Toussaint","FR"
"2023-11-11","Armistice 1918","FR"
"2023-12-25","Noël","FR"
"2024-01-01","Jour de l'an","FR"
"2024-04-01","Lundi de Pâques","FR"
"2024-05-01","Fête du Travail","FR"
"2024-05-08","Armistice 1945","FR"
